央卫,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228146/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228156/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228173/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228114/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228123/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228194/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227659/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221228286/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227524/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228117/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221228404/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227578/index.m3u8
CGTN,http://ott.mobaibox.com/PLTV/3/224/3221227574/index.m3u8
CETV1,http://ott.mobaibox.com/PLTV/3/224/3221227560/index.m3u8
CETV2,http://ott.mobaibox.com/PLTV/3/224/3221227607/index.m3u8
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
运动健身,http://ott.mobaibox.com/PLTV/3/224/3221228427/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221228115/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221228147/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221228150/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221228236/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221228124/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221228153/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228227/index.m3u8
河北卫视,http://ott.mobaibox.com/PLTV/3/224/3221227545/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221227550/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227633/index.m3u8
贵州卫视,http://ott.mobaibox.com/PLTV/3/224/3221227551/index.m3u8
东南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227553/index.m3u8
青海卫视,http://ott.mobaibox.com/PLTV/3/224/3221227554/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221227556/index.m3u8
内蒙古卫视,http://ott.mobaibox.com/PLTV/3/224/3221227557/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/3/224/3221227559/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227562/index.m3u8
宁夏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227563/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221227565/index.m3u8
甘肃卫视,http://ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227571/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221227609/index.m3u8
兵团卫视,http://ott.mobaibox.com/PLTV/3/224/3221227654/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227662/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221227676/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228028/index.m3u8
海南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228139/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8
地方,#genre#
宿迁公共,http://ott.mobaibox.com/PLTV/3/224/3221226939/index.m3u8
宿迁综合,http://ott.mobaibox.com/PLTV/3/224/3221226944/index.m3u8
厦门卫视,http://ott.mobaibox.com/PLTV/3/224/3221226996/index.m3u8
南京十八,http://ott.mobaibox.com/PLTV/3/224/3221227178/index.m3u8
南京科教,http://ott.mobaibox.com/PLTV/3/224/3221227194/index.m3u8
NBS南京新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227213/index.m3u8
新沂2,http://ott.mobaibox.com/PLTV/3/224/3221227311/index.m3u8
贾汪新闻,http://ott.mobaibox.com/PLTV/3/224/3221227385/index.m3u8
4KUHD-4K,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8
电影台b1,http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221227520/index.m3u8
潮妈辣婆,http://ott.mobaibox.com/PLTV/3/224/3221227527/index.m3u8
中国功夫,http://ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8
武博世界,http://ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8
惊悚悬疑,http://ott.mobaibox.com/PLTV/3/224/3221227536/index.m3u8
军事评论,http://ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
精品纪录,http://ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
爱情喜剧,http://ott.mobaibox.com/PLTV/3/224/3221227548/index.m3u8
邳州综合,http://ott.mobaibox.com/PLTV/3/224/3221227576/index.m3u8
延边卫视,http://ott.mobaibox.com/PLTV/3/224/3221227590/index.m3u8
军旅剧场,http://ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8
动作电影,http://ott.mobaibox.com/PLTV/3/224/3221227606/index.m3u8
经济生活,http://ott.mobaibox.com/PLTV/3/224/3221227611/index.m3u8
精品大剧,http://ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
纪实人文,http://ott.mobaibox.com/PLTV/3/224/3221227635/index.m3u8
安多卫视,http://ott.mobaibox.com/PLTV/3/224/3221227651/index.m3u8
